,txid,blockid,status,creator_msp_id,validation_code,chaincode_proposal_input,chaincode,key,access_type,version_block,version_tx
34,21,15,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,WRITE,,
35,22,16,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,436872697374070686572",basic,asset1,WRITE,,
36,23,16,200.0,Org2MSP,MVCC_READ_CONFLICT,"5472610736665724173736574,617373657431,5400000",basic,asset1,WRITE,,
37,24,17,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,436872697374070686572",basic,asset1,WRITE,,
38,25,17,200.0,Org2MSP,MVCC_READ_CONFLICT,"5472610736665724173736574,617373657431,5400000",basic,asset1,WRITE,,
39,26,18,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657432,5400000",basic,asset2,WRITE,,
40,27,19,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657433,5400000",basic,asset3,WRITE,,
41,28,20,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,5400000",basic,asset4,WRITE,,
42,29,21,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,42726164",basic,asset4,WRITE,,
43,30,22,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,43687269737469610",basic,asset4,WRITE,,
44,31,23,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,42726164",basic,asset4,WRITE,,
